Date,Title,Review_Text,Product,Rating
"April 6, 2020",Great price great tv. I made a great choice,I purchased my tv a few weeks ago. It was delivered on time and still in great condition. Tv works perfectly fine. Sound is great. Colors are great. So I went back and purchased this same brand tv just a 65 inch. Which is now mounted in my living room. Hope this review help someone. Have a blessed day everyone.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"August 24, 2020",great value for all primary features,"most cost-effective TV on the market. I have both 65"" and 75"" for two conference rooms in my office.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 21, 2020",Decent first leap into the 4k world,"So I basically got this to support my xbox series x.. The picture is great and the ease of setting it up and having it up and running so quickly was a plus. The sound is good but I will definitely be getting a soundbar to give it a little something extra. The remote is very simplistic and gets you to the apps and the volume but I wish there was a menu button because getting to the accessibility section to change even the smallest thing is a daunting task. Just be sure you have a tv stand long enough to support it if you aren't going to wall mount because i upgraded from a 57"" to this tv and had to order and build a new one long and deep enough to accommodate it.. Other than that, happy with the purchase.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"October 11, 2020",Great TV!,"I bought this TV because I wanted a TV to be the size of the wall in my small living room in a condo. I loved this TV but ended up returning it for a couple reasons. 1) It was too big. Never thought there would be such thing as too big, but it was. The living room is small so the TV felt too big. I felt like I couldnt take in the whole picture as I should. 2) I installed a wall mount and The TVs mounting holes are not centered but on the lower portion of the TV back. It made it mount a lot higher than I intended. A TV this size would be great for a larger size room where the viewing space is at least 12ft. away from the TV. This TV is great for the following reasons. - Roku TV has a lot more customizations and features - Roku allows you to pause live TV by adding a USB. - Seems to be faster and more stable than the Android TV. - Roku app to control the TV. Android tv has no phone options at all. - Too much to mention. If youre debating on an Android TV vs the Roku. I suggest the Roku. The Android option seems like a newer option but the Roku has so many more features. Some of the Roku TV brands offer you the option to use voice control with the Roku TV. The photos show a 55"" Android TV on top and the 65"" Roku TV below.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"May 9, 2020",none,I ordered this TV as a store pick up. I ordered it in the morning and was able to pick up same day on the evening. It's super easy to set up. I'm not much of a TV person so I wasn't looking into spending a lot of money. This TV works for me I only use it to watch Netflix. See pictures attached.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"November 20, 2020",none,"This TV is perfect especially for the reasonable price that was provided. The only issue is that the TV kept saying ""TV is over heating"" but after i turn it off for 20 mins it would be fine. I haven't had that issue in awhile though, other than that the TV works like a dream.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"December 2, 2020",Red screen of death? Did TCL use a Samsung design?,"Jury still out here. I like TCL and have had good luck so far with two other TVs from them. BUT, less than two weeks in, this one had the ""red screen of death"" that used to plague Samsung color boards. It only lasted two hours on several streaming services, but its a big (red) warning flag.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",3.0
"November 12, 2020",No good idea to bye smart TVs with out internet,"One thing now most of Smart TVs the remote controls do not have the key of number to swaps between channels easy as short cuts , meet to go one by one up or down and if control get damage is hard to see other universal control to work with. This is a disadvantage. Thank you JL","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",1.0
"November 29, 2020",Am returning. JUNK,Set tv up yesterday picture was beautiful. Turned it on next morning picture is almost totally black. I then tried adjusting picture settings .this didn't work.i then did a factory reset picture is still black. Will return ASAP. THIS TV IS A TOTAL PIRCE OF JUMK DONT BUY !!!!!!,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",1.0
"December 2, 2020",Satisfied with my 65 TLC,I had my doubts due to mixed reviews BUT sold me was the fact my brother has all TLC 65 in his house and Ive always raved about the picture quality. Hes had them for at least 3 years and no issues so I purchased with confidence its been 2 weeks and Im happy with my purchase color is great fits perfectly in my living room,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"November 25, 2020",Great TV for the money,"TV arrived safe and sound, the plastic straps which hold the box together, and are coincidently used to for hand holds, were digging into the box - but held up well. TV was sufficiently padded with Styrofoam and held securely in place. I am a fan of the Roku interface and a previous good experience with TCL led me here. TV booted up, updated, and then added the appropriate channels. HDMI Arc connection worked like a charm so my soundbar was happy. I can't speak to the onboard speakers, but I am sure the onboard sound is good enough. I highly recommend the TCL Roku 4 series 65: TV!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 28, 2020",65 inch TLC smart TV,It was shipped out of my state which was excellent ! the box was very neat and clean new and in excellent condition the carrier treated it with care when I opened it everything was wrapped brand new in my livingroom it was brand new screen clean just love it,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"August 15, 2020",1st TV Owned in 8 years!,"Easy set-up. Very light, so you can move if needed, easily. Clear sound and resolution! Love!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 1, 2020",TCL Roku Rocks,Love love love this 75 inch TCL TV! My niece introduced me to this brand in Dec 2019 when she bought me a 50 inch TCL SmartTv for Christmas and its a great tv with a crisp picture and great sound! So when I remodeled my living room I got the 75 inch TV in July and I can not get enough of this tv might should have gotten a 85 inch instead!,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 22, 2020",Great product,Love this TV. Great picture and very reasonably priced. Definitely recommend.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"May 1, 2020",Absolutely love,The picture is super clear and it is a great price for a tv. Easy to set and very sleek,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"September 4, 2020",love it!,I got this tv because me and my family went to wifi tv instead of paying out the butt for cable that goes out and plays the same shows and movies all the time. I will say I was concerned when the fed ex guy delivered it by body hugging the tv on its side! but it was fine and I 100% love it!,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"September 15, 2020",Great buy,I purchased the 65in for my bedroom a few months ago. It arrived on time and in tact. I love it. Its extremely loud without even having to turn it all the way up. There were 2 instances where I cut it on and the screen was black. I simply unplugged it for 10 sec and it came back on. Not sure what that was about but Ive purchased the 3 year protection plan just in case. Its not too heavy. I downloaded the app so I wont have to keep up with the remote. It lags seldom but nothing to complain about. I look forward to purchasing another.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"October 15, 2020",none,"Volume changes a lot. Like the picture and selection of channels. The size easy on the eyes. Dislike that it does not go on the internet, if its a real smart TV it should have this feature!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"October 9, 2020",none,"Brand new out of the box. Got it mounted then plugged it in and it did not work. Took back to Walmart and couldn't exchange due to out of stock. Bought the 50"" and it works fine for what it is","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",1.0
"April 9, 2020",Great tv.,The tv works great. My wife and I love it.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"September 12, 2020",Pretty satisfied,Tv is a nice size.....but some of the shoes I download on there wont work so.....idk maybe I need a new Roku.... other than that nice size and color and the sound is GREAT!,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"October 21, 2020",none,"Beautiful resolution! But every now and then it doesnt wanna turn on, not sure what thats about, concerned.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"August 28, 2020",Good for the price,"This TCL is the second one we own. It is easy to set up, but we did have to buy the bracket stand for it because our console table was not wide enough to hold it. Otherwise, it was a simple setup. The picture is clear and the sound is very good. The only thing I dont like is that I cant fine tune the color balance. Most of the white actors look pathetically pale. I darkened the brightness, which helped some, but would like to see more color saturation. Overall, this is a great television for the money.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"November 23, 2020",rokos rock,love these TCL roko tvs 2nd one I bought.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 22, 2020",Great deal,Excellent product for a great price,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 16, 2020",Great TV,"Arrived quickly, sooner than original date. Great Buy!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 8, 2020",Best tv,Good tv and price really nice,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 23, 2020",Very nice for the price!,"So far, so great! Nice picture quality. I havent gotten it up yet but still looks good.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 27, 2020",none,I love this tv works great has a good picture.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 27, 2020",none,Very easy to set up. Great price for this TV. First time buying a TCL . Great picture too!,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"September 29, 2020",Good buy for the price.,"Just bought this TV and so far, so good! Picture quality is good. It's easy to set up. We love the size.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 19, 2020",Great picture. Quality is amazing. Ez to setup.,It's a wonderful product and I enjoy having it and I hope others will look into it as well because it is worth the money. And another TCL tv I have has fallen over and flip flopped on the ground and still works so lemme tell you the tv can take a beating because I never seen a tv last after falling so many times and still work. I'm not saying beat on your TV. But it's a tough sturdy product as of the picture and sound it's great. In all a wonderful product. And I think I have a total of 3 TCL TVs. Wonderful products.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 18, 2020",Purchasing a Roku was a great decision!,"I am so happy I was recommended this tv. It has a number of free channels - movies, news, reality shows etc. and all the usual streaming options. The picture quality is amazing and the remote couldn't be more simple. Navigating the various options is easy and I would strongly recommend this Roku to anyone considering purchasing a new tv.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 30, 2020",Very disappointed in this TV.,"I purchased the TCL 65 inch tv in October 2019, the TV just made a big crackling pop sound, smoke started coming from the bottom, now I have No TV and it's been 7 months, I can't get a refund...this is horrible, out of a job and TV, I still have the receipt!!!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",1.0
"May 18, 2020",What a steal of a deal!,"My old plasma tv was on its last leg, and I was so excited to replace it because the glare on plasmas is VERY annoying. But which brand to buy? I'm a senior and tech challenged so I didn't know what Roku is, or the difference between QLED and LED. Due to the Covid 19 stay at home orders, my local Walmart was sold out of every brand except the 43inch TCL Roku. And it was on sale for $208! I figured I couldnt pass up the price and the store clerk said it would be returnable within 30 days. So I get it home, very easily plugged in but i forgot my Internet provider login. Had to call COMCAST, but i lucked out and got a service tech who had two TCL's in his house and loved them. So not only did he reset my PW, he also showed me all the great apps and how to change settings/subscriptions, etc. I ABSOLUTELY LOVE THIS TV! The screen clarity is perfect, love the remote, and I honestly couldn't be happier. I only wish I had gotten one of these TVs sooner! Hundreds of apps, each with a boatload of tv shows and movies. There are movie channels for everyone, from classic b","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 16, 2020",Customer service is atrocious,"Bought the TV happy with the price, was satisfied with the quality of others purchased for work. Got this one for home no damage to packaging put up the tv, and plugged it in and found it internally damaged. Went to Walmart they won't take it back told me to call tcl. I contacted tcl and was told they won't cover broken screens, so there's nothing I can do I just have an expressive piece of crap.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",1.0
"June 9, 2020",We love it!,"Got this for our new apartment because of its affordability, but also because it doesn't trade quality for value. The colours are vibrant and look great in both videos and games. Just make sure to get an entertainment centre that fits 65"", because the feet are at the edges of the TV, so something smaller wouldn't work.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 17, 2020",none,"Great Picture Good price easy to unbox and set up. Wonderful features. The only problem we had was getting someone to help us to the front with it in store, we ended up carrying it ourselves. It was awkward and hard to carry! The tv itself it great!!!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"June 27, 2020",Good While It Lasted....,"When i bought the TV it was already damaged. it came with a red and blue line going down the tv vertically. I'm not sure if someone dropped it and tried to return it or if it got damaged from the representative trying to load it all by himself. Either way, i didn't bother to return the tv because i felt like maybe it wont be too much of a problem. I should have returned it. When i woke up this morning, it looked like this (see pictures). Im not sure what happened there but now i have no TV. The TV was wonderful while it lasted. Great picture and size. Love that i can access Netflix and Youtube without have to Chromecast. If I want to cast to the TV, i can just do it without buying anything additional. It makes life easy. Looks like there are a few others who are having trouble with receiving damaged TVs. Sucks that it costs so much only to end up with nothing in the end.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",3.0
"July 8, 2020",Not sold on it.,Its a nice big tv but is constantly disconnecting from wifi nothing else in the house does but this TV. It is frustrating. Box came with a big gouge in it and someone whether it be walmart or the delivery company taped it up. When the box was opened the back of the TV has a good ding on it. Also annoying. Not thourougly impressed i would have rather bought a different TV and ised a roku USB.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",3.0
"August 7, 2020",none,love it. never an issue with buffering or connectivity. definitely a best buy.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"September 4, 2020",Great Picture!!!,Beautiful picture!!! Just right for my living room. My camera doesn't do it justice.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"August 28, 2020",TCL 65 inch smart tv,Really nice tv picture is great and easy to operate.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"October 1, 2020",none,My husband loves his TV in his Man Cave.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"August 23, 2020",Happy with my 65 inch,I am extremely pleased so far..great deal for the price,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"August 15, 2020",good,"Tv's great for the price. sound iw terrible though, so plan on getting a soundbar","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"August 10, 2020",Going to return it,I have only had this tv over the weekend and I am going to return it. The sound cuts out randomly and then completely goes out. I tried everything I could to fix the problem myself as customer support for the tv was closed over the weekend. Ended up calling them this morning and they were very nice and tried to help but ultimately could not. Everything else about the tv was great. Just wish the sound worked properly.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",3.0
"November 30, 2020",Different but really nice,To big for bedroom,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"November 19, 2020",Great,I love it great picture!,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"June 29, 2020",Awesome,"Very big , very clear and so easy to use. Also it has a feature to make the tv darker for the night time , I love this feature for my son when its bedtime","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 17, 2020",Replaced my smart tv this week.,"Holy smokes, delivered as fast as lightening! Thank you! Product is perfect, as described online. I had a smaller version and upgraded. I'm very pleased.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 18, 2020",Love my TV,"This TV was the replacement for my 65"" Phillips Google TV and I find that the TCL has a comparable picture quality but is far easier to operate. There remote is more compact. The menu is set up better. Overall, I am much happier with this TV.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 18, 2020",none,"If you're looking for a good quality picture, convenient access to a vast selection of TV apps, and a bargain on top of it all. This may be the TV for you. You can pay more , but why?","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 23, 2020",Very Impressed,Very impressed so far. The TV has an amazing picture and the built in speakers are really good as well. It was easy to set up and like I said the picture is beautiful,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"June 18, 2020",none,I love everything about this tv. I wasnt sure if i wanted to get this but i am so so glad i did. Do your self a favor and buy yourself this tv!!! Its worth It,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 16, 2020",TCL ROKU,"Outstanding picture quality, excellent sound and great value. You will have a difficult time finding a better TV for twice the price. Truly Impressive","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"May 13, 2020",One beautiful 4K TV,"My Sister loved her new TV for mother's day. 65 "" 4k and the picture is spectacular. Got free FedEx shipping. It's one beautiful 4K TV. You made me a hero Walmart!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 18, 2020","TCL 55"" Roku","I' own 4 different TCL smart TVs ranging fro 32""-55"" I highly recommend them from price, quality , user friendly aesthetically pleasing ..I paid for my new 55"" recently 4/18/20, 270ish$ no extended warranty ..l","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 7, 2020",underwelmed,"I researched TVs and came to the conclusion this was my best choice. when I Forster it up the picture didn't seem quite as bright as I thought it should be, but it was different than what I was accustomed to. Almost exactly 2 months later I turned it on and thescreenwas so dark you couldn't see what was going on. After factory resetting the picture came back, but later that day it started fluctuating. The next day it was about 1/2 brightness. The VERY helpful people at TCL support told me this was unusual and started the return process, but I'm just going to take it back to Walmart.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",2.0
"March 12, 2020",A great TV at a great price!,"An absolutely great TV! I bought this on 12/29/19 to replace an old Samsung 32"" Smart TV (2012 model) that crapped out on me (network card died, so it turned into a dumb tv, otherwise it still worked). The picture quality and size of the display are absolutely stunning and much better than the one it replaced. The Roku interface is a breeze to use and works great for my needs. Remote is very simple and easy to operate. I've had it for almost 3 months now, and absolutely no problems with it so far. When I went to buy it I did not know the time it was on Rollback until I went to pay, so I was surprised to get a pretty good deal on it! Overall, very satisfied with my purchase, and would definitely recommend this to someone looking for a new TV.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 2, 2020",none,Brought this tv as an openbox with no stand or screws . I went home pulled the tv out the box and the stand and screws was at the bottom of the box ! I was already excited i purchased it for $240 ð¤ but to have everything in the box was super awseome ðð½ðð½,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"January 3, 2020","Awesome 65"" TV","This is my 2nd TCL Roku TV and have been very happy with them, just get the protection plan and not worry about it. Simple, here in 3 years renew the protection plan. Super easy set up, I hung this 65"" today all by myself with a cheap wall mount. This was the best value tv for the price and years before I was Samsung","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"February 24, 2020",Happy Customer,I bought a 32” then a refurbished 55” and both have been AMAZING. I have had them Both for over three years. There are occasional reboots but it's not that often and always keep working. I was a bit skeptical when I read some of the negative reviews but I figured for the price it was worth a shot. I am very happy with my purchases and plan on upgrading to a 65” soon! First photo is my cat watching Game of Thrones. Second photo was taken just now which is 3+ years using the TV with no problems.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"January 4, 2020",Great Quality for the Price!,"Better quality then I expected for the price. The picture is great. This was my back up TV since the one that I wanted was sold out, but I actully like this one more! The only downside to it is that the remote doesnât habe numbers on it (nor does the app based remote). This isnât an issue for me since I just have a few channels from an antenna and Netflix, but I can see how it could be a problem if you habe a lot of channels. Overall, I love the TV!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"February 18, 2020",Amazing TV Upgrade,"I decided that it was time for an upgrade, so I took advantage of the sale and same day pick up to get this TV. It provides an amazing picture, and the connection is great. It's easy to set it up. I definitely recommend this for anyone looking for a new TV.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"July 31, 2020",Great tv for your money,Great quality picture and audio. Was easy to set up and I would recommend this tv,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"October 12, 2020",none,Great smart TV,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"October 13, 2020",Simply beautiful,I love my 65 inch TV!!!!,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"August 1, 2020",none,"I got this on a whim after my toddler threw a cup at our old Sony that was about 5 years old and busted the screen. I am extremely happy with my purchase. This tv has a lot of free content through the Roku, plus it's easy to access our Netflix and Disney . The picture quality is better than our old Sony, and so is the sound. I got this for 218 plus tax and when we bought the Sony, which was a few inches smaller, it was 400 . Overall this is a better quality product for much less than a big name brand tv. Given, that Sony was five years old, but still. If you're on the fence about this one, just go for it. It's a quality product.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
